거래처명,업무명,작업명,장수_합계,용지자재사용량_합계,봉입건수_합계,봉투자재사용량_합계,불일치유형
(주)대성학력개발연구소,논술 모의고사,성적일람표-논술모의고사,3554.0,0.0,1.0,0.0,용지자재이력없음; 봉투자재이력없음
(주)대성학력개발연구소,더프리미엄 모의고사,개인성적표-THE PREMIUM,258462.0,266509.0,22.0,0.0,장수-용지불일치(비율1.03); 봉투자재이력없음
(주)대성학력개발연구소,더프리미엄 모의고사,담임용 성적일람표-THE PREMIUM,56406.0,41022.0,11.0,0.0,장수-용지불일치(비율0.73); 봉투자재이력없음
(주)대성학력개발연구소,더프리미엄 모의고사,학교용 성적일람표-THE PREMIUM,38606.0,9498.0,1750.0,0.0,장수-용지불일치(비율0.25); 봉투자재이력없음
(주)이동의즐거움(구.로카모빌리티),(주)이동의즐거움 청구서 발송,로카모빌리티 청구서 발송,9186.0,18372.0,5216.0,5216.0,장수-용지불일치(비율2.00)
BC카드,교육청(전기료) 이용대금명세서,대구 교육청,6450.0,7221.0,6338.0,6338.0,장수-용지불일치(비율1.12)
BC카드,기업은행 이용대금명세서,기업 법인 경매,360.0,228.0,360.0,228.0,장수-용지불일치(비율0.63); 건수-봉투불일치(비율0.63)
BC카드,기업은행 이용대금명세서,기업 법인 렌트,105.0,47.0,47.0,47.0,장수-용지불일치(비율0.45)
BC카드,재발송 이용대금명세서,실물재발행 이용대금명세서,120.0,120.0,78.0,44.0,건수-봉투불일치(비율0.56)
BC카드,재발송 이용대금명세서,일반재발행 이용대금명세서,11122.0,9603.0,9777.0,8410.0,장수-용지불일치(비율0.86); 건수-봉투불일치(비율0.86)
BNP파리바카디프생명,보험증권,보험증권,5042.0,5042.0,5042.0,4857.0,건수-봉투불일치(비율0.96)
BNP파리바카디프생명,통합안내장,통합안내장(일반우편),44049.0,71100.0,24450.0,24290.0,장수-용지불일치(비율1.61)
KB국민카드,KB증권 able법인체크카드 발송,KB증권 법인체크카드 내역서 발송,48.0,31.0,24.0,24.0,장수-용지불일치(비율0.65)
KB증권,금융소득본인통보안내문_201903,금융소득본인통보안내문_201903,222626.0,0.0,221875.0,0.0,용지자재이력없음; 봉투자재이력없음
KB증권,신용약관변경안내문_26.03,신용약관변경안내문_26.03,2870.0,5740.0,574.0,574.0,장수-용지불일치(비율2.00)
KB증권,"잔고수시,신용만기,사실통보 발송",사실통보,8434.0,6501.0,8434.0,8434.0,장수-용지불일치(비율0.77)
KB증권,"잔고수시,신용만기,사실통보 발송",신용만기,9381.0,7041.0,9381.0,9381.0,장수-용지불일치(비율0.75)
KB증권,"잔고수시,신용만기,사실통보 발송",잔고수시,891.0,713.0,891.0,891.0,장수-용지불일치(비율0.80)
KT SAT,KT SAT안내문 발송,KT SAT안내문 발송,825.0,825.0,299.0,290.0,건수-봉투불일치(비율0.97)
KT(케이티),KT 별정청구서 발송 업무,KT  기아차 자동이체,32.0,27.0,32.0,32.0,장수-용지불일치(비율0.84)
KT(케이티),KT 별정청구서 발송 업무,KT-스피츠모바일 자동이체,16.0,30.0,15.0,0.0,장수-용지불일치(비율1.88); 봉투자재이력없음
KT(케이티),KT 별정청구서 발송 업무,KT_고고팩토리 자동이체,253.0,245.0,245.0,245.0,장수-용지불일치(비율0.97)
KT(케이티),KT 별정청구서 발송 업무,KT_고고팩토리 지로,77.0,75.0,75.0,75.0,장수-용지불일치(비율0.97)
KT(케이티),KT 별정청구서 발송 업무,KT_토스모바일 자동이체,794.0,784.0,784.0,784.0,장수-용지불일치(비율0.99)
KT(케이티),KT 별정청구서 발송 업무,KT_토스모바일 지로,159.0,153.0,153.0,153.0,장수-용지불일치(비율0.96)
KT(케이티),KT 별정청구서 발송 업무,KT더피엔엘 자동이체,2555.0,2487.0,2487.0,2487.0,장수-용지불일치(비율0.97)
KT(케이티),KT 별정청구서 발송 업무,KT더피엔엘 지로,555.0,526.0,526.0,526.0,장수-용지불일치(비율0.95)
MG신용정보,KT(장기) 안내장 발송용역,MG신용정보 KT,608870.0,608870.0,582158.0,436672.0,건수-봉투불일치(비율0.75)
MG신용정보,KT(장기) 안내장 발송용역,MG신용정보 SKT,26727.0,18202.0,26727.0,18202.0,장수-용지불일치(비율0.68); 건수-봉투불일치(비율0.68)
SH공사(서울주택도시공사),1. 서초롱 #1~3,1. 서초롱 #1~3,175892.0,175892.0,175892.0,0.0,봉투자재이력없음
SH공사(서울주택도시공사),2. 박정수 #4~12,2. 박정수 #4~12,122395.0,122395.0,122395.0,0.0,봉투자재이력없음
SH공사(서울주택도시공사),3. 임정섭 #13~15,3. 임정섭 #13~15,40095.0,40095.0,40095.0,0.0,봉투자재이력없음
SH공사(서울주택도시공사),4. 이은미 #16~18 ,4. 이은미 #16~18,534.0,0.0,534.0,0.0,용지자재이력없음; 봉투자재이력없음
Void교재,보이드교재제작,컬러 내지제작,4863576.0,0.0,121350.0,0.0,용지자재이력없음; 봉투자재이력없음
Void교재,보이드교재제작,컬러 표지제작,60378.0,0.0,0.0,0.0,용지자재이력없음
Void교재,보이드교재제작,흑백 내지제작,94008.0,0.0,16216.0,0.0,용지자재이력없음; 봉투자재이력없음
강남구청,세무관리과_세외수입고지서,세무관리과_세외수입고지서,28261.0,28261.0,17477.0,5397.0,건수-봉투불일치(비율0.31)
강남구청,세무관리과_세외수입안내문,세무관리과_세외수입안내문,644.0,644.0,644.0,0.0,봉투자재이력없음
강남구청,세무관리과_체납고지서,세무관리과_체납고지서_,212655.0,212655.0,93656.0,52946.0,건수-봉투불일치(비율0.57)
강남구청,세무관리과_체납안내문,세무관리과_체납안내문,18258.0,18258.0,18258.0,0.0,봉투자재이력없음
강남구청,지방소득세과_독촉고지서,지방소득세과_6번독촉고지서,26799.0,26799.0,26799.0,0.0,봉투자재이력없음
강남대성수능연구소(주),대성학원 선생님교재 제작,S타입 교재 내지 출력(칼라),17160.0,17160.0,110.0,0.0,봉투자재이력없음
강남대성수능연구소(주),대성학원 선생님교재 제작,강대수능연구소_CRUX_내지_롤지(칼라)-컷팅-제본-발송,129180.0,129180.0,2540.0,0.0,봉투자재이력없음
강남대성수능연구소(주),대성학원 선생님교재 제작 A교재,A타입 교재 내지 출력(흑백),9088915.0,0.0,167723.0,0.0,용지자재이력없음; 봉투자재이력없음
강남대성수능연구소(주),대성학원 선생님교재 제작 A교재,컬러 표지제작,167723.0,0.0,0.0,0.0,용지자재이력없음
강남대성수능연구소(주),대성학원 선생님교재 제작 M교재,흑백 내지제작,806015.0,0.0,260790.0,0.0,용지자재이력없음; 봉투자재이력없음
강남대성수능연구소(주),대성학원 선생님교재 제작 S교재,A타입 교재 내지 출력(흑백),54874.0,0.0,1212.0,0.0,용지자재이력없음; 봉투자재이력없음
강남대성수능연구소(주),대성학원 선생님교재 제작 S교재,강대수능연구소_CRUX_내지_롤지(칼라)-컷팅-제본-발송,33608117.0,0.0,451370.0,0.0,용지자재이력없음; 봉투자재이력없음
강남대성수능연구소(주),대성학원 선생님교재 제작 S교재,컬러 표지제작,450892.0,0.0,0.0,0.0,용지자재이력없음
강서구청,"세무2과 세외수입 고지서 출력, 봉함 및 봉입","세무2과 세외수입 고지서 출력, 봉함 및 봉입",1.0,0.0,0.0,0.0,용지자재이력없음
강서구청,"세무관리과 _ 체납고지서,독촉고지서,세외수입고지서",세무관리과 (독촉고지서 및 정기분),229372.0,240278.0,127519.0,52644.0,장수-용지불일치(비율1.05); 건수-봉투불일치(비율0.41)
강서구청,"세무관리과,지방소득세과,재산세과 안내문 출력 작업",안내문 작업,86375.0,42363.0,56375.0,14012.0,장수-용지불일치(비율0.49); 건수-봉투불일치(비율0.25)
강서구청,지방소득세과(세무2과) _ 수시분고지서(4번 납세고지서 외),"세무2과 (수시분납부고지서,자동차세 정기분)",23218.0,31723.0,17512.0,3125.0,장수-용지불일치(비율1.37); 건수-봉투불일치(비율0.18)
건강보험_검진안내문,건강보험_검진안내문,건강검진 안내문 발송,2649797.0,1980977.0,2649797.0,2649797.0,장수-용지불일치(비율0.75)
건설근로자공제회,맞춤형 계약등기 우편물 제작 발송,맞춤형 계약등기 우편물 제작 발송,282.0,188.0,94.0,94.0,장수-용지불일치(비율0.67)
교보생명보험주식회사,1. 신규가입자 디폴트옵션 부담금 적용 안내문,디폴트옵션 부담금 적용 안내문(주2회),10.0,0.0,10.0,0.0,용지자재이력없음; 봉투자재이력없음
교보생명보험주식회사,6. 법인고객지원팀 _ 안내문(수요일/주),퇴직연금부담금미납안내,738.0,328.0,531.0,328.0,장수-용지불일치(비율0.44); 건수-봉투불일치(비율0.62)
교보생명보험주식회사,자산운용보고서,자산운용보고서,31046.0,0.0,7376.0,7376.0,용지자재이력없음
교보생명보험주식회사,자산운용보고서,자산운용보고서 책자,10872.0,10872.0,72.0,0.0,봉투자재이력없음
국민건강보험공단(대구지역본부),지역고지서 3분류 출력 및 발송_상실독촉,지역고지서(씰링) 12형,329292.0,0.0,329292.0,0.0,용지자재이력없음; 봉투자재이력없음
국민건강보험공단(대구지역본부),지역고지서 3분류 출력 및 발송_상실독촉,지역고지서(투봉) 11형,11208.0,0.0,11208.0,0.0,용지자재이력없음; 봉투자재이력없음
국민건강보험공단(대구지역본부),지역고지서 3분류 출력 및 발송_정기분,지역고지서(씰링) 7-10형,2504403.0,0.0,2504403.0,0.0,용지자재이력없음; 봉투자재이력없음
국민건강보험공단(대구지역본부),지역고지서 3분류 출력 및 발송_정기분,지역고지서(투봉) 1-6형,1411541.0,0.0,732754.0,0.0,용지자재이력없음; 봉투자재이력없음
권현석,교재 제작,[내지]제작,3410.0,3410.0,49.0,0.0,봉투자재이력없음
귀뚜라미에너지,도시가스요금청구서 배송,도시가스 요금청구서,345572.0,345572.0,345572.0,0.0,봉투자재이력없음
김도혁t,김도혁 선생님 교재 제작,내지 제작,43915.0,43915.0,429.0,0.0,봉투자재이력없음
김진영T,김진영T_교재제작,김진영 선생님 브로슈어 2P,1504.0,1504.0,1504.0,0.0,봉투자재이력없음
김진영T,김진영T_교재제작,내지_컬러,32749.0,32749.0,320.0,0.0,봉투자재이력없음
김진영T,김진영T_교재제작,시험지 제작,6240.0,6240.0,1560.0,0.0,봉투자재이력없음
노원구청,독촉고지서,독촉고지서,7409.0,7409.0,7409.0,0.0,봉투자재이력없음
노원구청,"체납고지서 외 제작, 발송",세외수입고지서,25505.0,50369.0,12433.0,12433.0,장수-용지불일치(비율1.97)
노원구청,"체납고지서 외 제작, 발송",체납고지서 제작 및 발송,126020.0,216954.0,56789.0,28558.0,장수-용지불일치(비율1.72); 건수-봉투불일치(비율0.50)
농협중앙회,자조금가입 및 안내DM 발송 _ 26년,키위_의무거출금 연납고지서(23.5/31),5772.0,5772.0,2886.0,0.0,봉투자재이력없음
농협중앙회,자조금가입 및 안내DM 발송 _ 26년,한국블루베리연합회,9149.0,9149.0,9149.0,0.0,봉투자재이력없음
도봉구청,독촉고지서 출력 및 봉함,독촉고지서,6912.0,6912.0,6912.0,0.0,봉투자재이력없음
도봉구청,"체납고지서 출력 및 봉입, 봉함",체납고지서,111498.0,111498.0,49731.0,27826.0,건수-봉투불일치(비율0.56)
라온기획,02. 근로복지공단_푸른씨앗 외_안내문,근로복지공단_안내문(spot),150851.0,194086.0,83227.0,73623.0,장수-용지불일치(비율1.29); 건수-봉투불일치(비율0.88)
라온기획,02. 근로복지공단_푸른씨앗 외_안내문,퇴직연금운용현황 안내문,63605.0,127210.0,63605.0,0.0,장수-용지불일치(비율2.00); 봉투자재이력없음
라온기획,04. 안전보건공단_SPOT성 안내문 발송,"안전보건공단_유해,위험방지계획서 안내문 발송",143436.0,143436.0,41711.0,18750.0,건수-봉투불일치(비율0.45)
라온기획,2. 박정수 #4~12,2. 박정수 #4~12,70762.0,0.0,70762.0,0.0,용지자재이력없음; 봉투자재이력없음
류지수t,류지수t 교재 제작,내지 제작,25575.0,25575.0,415.0,0.0,봉투자재이력없음
마킹PT,교재 제작,OMR 제작,1860.0,1860.0,1860.0,0.0,봉투자재이력없음
마킹PT,교재 제작,낱장 제작,930.0,930.0,930.0,0.0,봉투자재이력없음
마킹PT,교재 제작,무선 내지 제작,51615.0,51615.0,1395.0,0.0,봉투자재이력없음
마킹PT,교재 제작,중철 교재 제작,70790.0,70790.0,5735.0,0.0,봉투자재이력없음
마포구청,납부촉구 안내문 출력 및 봉함(풀칼라 Roll),납부촉구 안내문 발송,28371.0,56742.0,28371.0,0.0,장수-용지불일치(비율2.00); 봉투자재이력없음
마포구청,"체납 및 독촉, 4번_수시분 고지서",6번 독촉고지서,16539.0,16539.0,16539.0,0.0,봉투자재이력없음
마포구청,"체납 및 독촉, 4번_수시분 고지서",체납고지서,150450.0,254160.0,77792.0,43161.0,장수-용지불일치(비율1.69); 건수-봉투불일치(비율0.55)
미래에셋증권,금융소득본인통보안내문_201903,금융소득본인통보안내문_201903,330763.0,0.0,330743.0,0.0,용지자재이력없음; 봉투자재이력없음
미래에셋증권,랩잔고보고서 우편 발송,랩잔고보고서 우편 발송,99.0,66.0,99.0,99.0,장수-용지불일치(비율0.67)
미래에셋증권,잔고증명서 익일특급 발송,잔고증명서 익일특급 발송,8531.0,9270.0,8531.0,8531.0,장수-용지불일치(비율1.09)
미래에셋증권,잔고증명서 익일특급 발송(WM),잔고증명서 익일특급발송(WM),25066.0,30265.0,25066.0,25066.0,장수-용지불일치(비율1.21)
박인영 선생님,박인영T 교재제작,A4_컬러교재_표지제작,200.0,200.0,200.0,0.0,봉투자재이력없음
박인영 선생님,박인영T 교재제작,A4_흑백교재_내지제작,9454.0,0.0,200.0,0.0,용지자재이력없음; 봉투자재이력없음
박헌수 선생님,박헌수 선생님 교재 제작,박헌수T_내지제작_컬러,3118.0,3118.0,42.0,0.0,봉투자재이력없음
박헌수 선생님,박헌수 선생님 교재 제작,박헌수T_표지제작,42.0,42.0,42.0,0.0,봉투자재이력없음
박헌진 선생님,박헌진 선생님 교재 제작,박헌진T_교재_컬러_내지제작,4904.0,4904.0,56.0,0.0,봉투자재이력없음
박헌진 선생님,박헌진 선생님 교재 제작,박헌진T_표지제작,56.0,56.0,56.0,0.0,봉투자재이력없음
박헌진 선생님,박헌진 선생님 교재 제작,박헌진t 내지제작(칼라),35832.0,35832.0,387.0,0.0,봉투자재이력없음
박헌진 선생님,박헌진 선생님 교재 제작,박헌진t 표지제작(칼라),387.0,387.0,387.0,0.0,봉투자재이력없음
비상교육,교재제작,내지제작(칼라),123454.0,123454.0,1993.0,0.0,봉투자재이력없음
삼성화재해상보험(주),계약보전(PLK)웰컴팩,계약보전(PLK/PLX)웰컴팩,247962.0,285399.0,37437.0,37437.0,장수-용지불일치(비율1.15)
삼성화재해상보험(주),골드칼라안내장,골드칼라 미갱신,3382.0,1691.0,1691.0,1691.0,장수-용지불일치(비율0.50)
삼성화재해상보험(주),내용증명 1종(미환수금상환요청),내용증명(미환수금상환요청),2925.0,2925.0,2925.0,975.0,건수-봉투불일치(비율0.33)
삼성화재해상보험(주),내용증명 2종(급수비례보상/고지의무위반안내) ,내용증명(급수비례보상안내/고지의무위반안내),1659.0,1659.0,1659.0,553.0,건수-봉투불일치(비율0.33)
삼성화재해상보험(주),"내용증명 4종(상병,비례,직업,해지)","내용증명(상병,직업,비례,해지)",16176.0,16176.0,11046.0,3682.0,건수-봉투불일치(비율0.33)
삼성화재해상보험(주),내용증명(이익상실예정 통지서),내용증명(이익상실예정 통지서),426.0,426.0,213.0,71.0,건수-봉투불일치(비율0.33)
삼성화재해상보험(주),제휴증권,제휴증권(자동갱신증권),4758.0,4123.0,2107.0,2107.0,장수-용지불일치(비율0.87)
삼성화재해상보험(주),제휴증권,제휴증권_맞춤형약관,156109.0,158216.0,0.0,0.0,장수-용지불일치(비율1.01)
삼성화재해상보험(주),직장인단체보험증권,직장인단체보험증권,426.0,639.0,213.0,213.0,장수-용지불일치(비율1.50)
서울시 38팀,서울시38세금징수팀 체납고지서 발송,38세금징수팀 안내문,97485.0,100379.0,96015.0,5776.0,장수-용지불일치(비율1.03); 건수-봉투불일치(비율0.06)
서울시교통문화원,교통문화원 안내문 발송,개인택시 통지서 발송,30243.0,30243.0,30243.0,0.0,봉투자재이력없음
서초구청,독촉고지서,지방소득세과 독촉,30941.0,30941.0,30941.0,0.0,봉투자재이력없음
서초구청,씰링 공통 안내문 제작,세무관리과 안내문,19270.0,19270.0,19270.0,0.0,봉투자재이력없음
서초구청,"체납고지서,세외수입고지서 외",세무관리과 과년도 체납,255781.0,255781.0,137249.0,55834.0,건수-봉투불일치(비율0.41)
성북구청,독촉고지서,면허세독촉고지서 출력 및 봉함,5800.0,5800.0,5800.0,0.0,봉투자재이력없음
성북구청,안내문,안내문 발송,3027.0,3027.0,3027.0,0.0,봉투자재이력없음
성북구청,체납고지서,"체납고지서 출력 및 봉입,봉함",173544.0,173544.0,75574.0,39534.0,건수-봉투불일치(비율0.52)
손승연선생님,교재 제작,[내지]미색모조80_시트지,607960.0,0.0,6100.0,0.0,용지자재이력없음; 봉투자재이력없음
손승연선생님,교재 제작,[표지]아트지250,6100.0,0.0,0.0,0.0,용지자재이력없음
신한카드,갱신만료 안내문,갱신만료 안내문,63647.0,63647.0,63647.0,0.0,봉투자재이력없음
신한카드,위탁예정통지서,"위탁예정통지서 제작, 발송 DM",84.0,80.0,42.0,42.0,장수-용지불일치(비율0.95)
신한카드,재발행(1) _ 청구서(개인/법인)_일반/등기,재발행-개인-지로,263.0,186.0,213.0,213.0,장수-용지불일치(비율0.71)
신한카드,재발행(1) _ 청구서(개인/법인)_일반/등기,재발행-법인-자동이체,1564.0,1317.0,595.0,475.0,장수-용지불일치(비율0.84); 건수-봉투불일치(비율0.80)
신한카드,재발행(1) _ 청구서(개인/법인)_일반/등기,재발행-법인-지로,17.0,11.0,7.0,7.0,장수-용지불일치(비율0.65)
신한카드,청구서 칼라출력,법인청구서-지로,15417.0,15253.0,3425.0,3425.0,장수-용지불일치(비율0.99)
아람출판사,교재 제작,표지 제작,4.0,522.0,522.0,0.0,장수-용지불일치(비율130.50); 봉투자재이력없음
안재욱t,교재 제작,내지 제작,18850.0,18850.0,220.0,0.0,봉투자재이력없음
안현준 선생님,안현준T 교재 제작,교재 제작 - 컬러 내지,79840.0,79840.0,930.0,0.0,봉투자재이력없음
양지회,DM발송,[양지회] 회보 수작업 발송,403.0,806.0,5623.0,0.0,장수-용지불일치(비율2.00); 봉투자재이력없음
이정환 선생님,이정환 선생님 교재 제작,이정환t 내지제작,90532.0,90532.0,1719.0,0.0,봉투자재이력없음
중구청,2021년도 양천구청 세외수입고지서 발송,2021년 양천구청 세외수입고지서 발송,8230.0,0.0,5556.0,0.0,용지자재이력없음; 봉투자재이력없음
중구청,"세무관리과 고지서 등 제작,출력 및 봉합,봉입",세외수입고지서 제작 및 발송,56772.0,56772.0,23009.0,13232.0,건수-봉투불일치(비율0.58)
중구청,"세무관리과 고지서 등 제작,출력 및 봉합,봉입",안내문 작업,1377.0,1377.0,1377.0,0.0,봉투자재이력없음
중구청,"세무관리과 고지서 등 제작,출력 및 봉합,봉입",체납고지서 제작 및 발송,77662.0,45908.0,32204.0,10662.0,장수-용지불일치(비율0.59); 건수-봉투불일치(비율0.33)
중구청,"지방소득세과 고지서 등 제작,출력 및 봉합,봉입",면허세(정기분) 고지서 작업,18529.0,27693.0,18529.0,0.0,장수-용지불일치(비율1.49); 봉투자재이력없음
중랑구청,"세무1과 안내문 출력, 봉함 및 봉입",안내문 출력 및 봉합,8579.0,8579.0,8579.0,0.0,봉투자재이력없음
중랑구청,세무2과 독촉고지서 출력 및 봉함,독촉,5896.0,0.0,5896.0,0.0,용지자재이력없음; 봉투자재이력없음
중랑구청,"세무2과 안내문 출력, 봉함 및 봉입",안내문 출력 및 봉함,29921.0,29921.0,29921.0,0.0,봉투자재이력없음
중랑구청,"세무2과 체납고지서(과년도/현년도) 출력, 봉함 및 봉입","세무2과 과년도체납 고지서 출력, 봉함 및 봉입",194280.0,194280.0,68566.0,39622.0,건수-봉투불일치(비율0.58)
중소기업중앙회,대출,부금미납안내문,28143.0,0.0,28143.0,0.0,용지자재이력없음; 봉투자재이력없음
중소기업중앙회,"폐업,장기미납,사망자 안내문","폐업,장기미납,사망자 안내문",53436.0,0.0,17812.0,16703.0,용지자재이력없음; 건수-봉투불일치(비율0.94)
키움증권,법인 잔고내역(1영업일/매월_등기_일반 발송),법인 잔고내역,72.0,1687.0,1687.0,1687.0,장수-용지불일치(비율23.43)
파피(Paffy),파피교재제작,컬러 내지제작,1541953.0,0.0,26309.0,0.0,용지자재이력없음; 봉투자재이력없음
파피(Paffy),파피교재제작,컬러 표지제작,27054.0,0.0,0.0,0.0,용지자재이력없음
파피(Paffy),파피교재제작,흑백 내지제작,19246.0,0.0,6460.0,0.0,용지자재이력없음; 봉투자재이력없음
파피(Paffy),파피교재제작,흑백 표지제작,121.0,0.0,0.0,0.0,용지자재이력없음
파피(Paffy),파피교재제작 OMR,흑백 내지제작,160.0,0.0,320.0,0.0,용지자재이력없음; 봉투자재이력없음
파피(Paffy),파피교재제작 모의고사 시험지,흑백 내지제작,2821.0,0.0,1272.0,0.0,용지자재이력없음; 봉투자재이력없음
한국자산관리공사,채권양도통지서 내용증명_새출발기금,채권양도통지서 내용증명,47653.0,654.0,45499.0,0.0,장수-용지불일치(비율0.01); 봉투자재이력없음
혁명T,혁명T 교재제작,혁명T_컬러_내지제작,66300.0,0.0,1950.0,0.0,용지자재이력없음; 봉투자재이력없음
혁명T,혁명T 교재제작,혁명t_표지제작,1950.0,0.0,1950.0,0.0,용지자재이력없음; 봉투자재이력없음
현대백화점,DM 쿠폰 발송,26년_추석선물가이드 DM발송,15710.0,0.0,15710.0,15710.0,용지자재이력없음
현대백화점,"자사 카드 청구서 발송 용역(18, 24일자/월)",이용대금명세서,141423.0,282228.0,138699.0,138112.0,장수-용지불일치(비율2.00)
